word,prob,freq,plural
shoed,34.57356261941983,,
cakes,34.566614556192455,,Plural
beams,34.559666492965086,,Plural
sherd,34.5561924613514,,
herds,34.5561924613514,,Plural
shred,34.5561924613514,,
speak,34.535348271669264,295523.0,
peaks,34.535348271669264,,Plural
spake,34.535348271669264,,
biles,34.51450408198714,,Plural
bites,34.511030050373456,,Plural
youse,34.50408198714608,,
blest,34.49018586069133,,
belts,34.49018586069133,,Plural
boars,34.46586763939552,,Plural
faces,34.44502344971339,,Plural
cafes,34.44502344971339,,Plural
games,34.43460135487233,,Plural
slued,34.3859649122807,,
dulse,34.3859649122807,,
duels,34.3859649122807,,Plural
duets,34.382490880667014,,Plural
saved,34.354698627757514,,
mouse,34.35469862775751,28329.0,
muser,34.33732846968908,,
serum,34.33732846968908,,
since,34.333854438075385,363805.0,
copse,34.30953621677957,,
cents,34.30953621677957,,Plural
scent,34.30953621677957,,
copes,34.30953621677957,,Plural
scope,34.30953621677957,22460.0,
penis,34.3025881535522,,Plural
pines,34.3025881535522,,Plural
spine,34.3025881535522,,
snipe,34.3025881535522,,
sorer,34.278269932256386,,
roses,34.278269932256386,,Plural
sores,34.278269932256386,,Plural
spent,34.27826993225638,,
viers,34.26089977418795,,Plural
vires,34.26089977418795,,Plural
rives,34.26089977418795,,Plural
loves,34.257425742574256,,Plural
solve,34.257425742574256,50437.0,
toves,34.25395171096057,,Plural
stove,34.25395171096057,,
votes,34.25395171096057,,Plural
house,34.253951710960564,537037.0,
verst,34.23658155289213,,
usher,34.236581552892126,,
bodes,34.22963348966476,,Plural
coals,34.20531526836894,,Plural
colas,34.20531526836894,,Plural
ascot,34.20184123675526,,
tacos,34.20184123675526,,Plural
costa,34.20184123675526,,
coats,34.20184123675526,,Plural
coast,34.20184123675526,53114.0,
slain,34.198367205141565,,
nails,34.198367205141565,,Plural
snail,34.198367205141565,,
satin,34.19489317352788,,
stain,34.19489317352788,,
saint,34.19489317352788,17465.0,
antis,34.19489317352788,,Plural
carts,34.18447107868681,,Plural
pairs,34.17752301545944,,Plural
opals,34.17404898384575,,Plural
slant,34.17404898384575,,
kerns,34.160152857391,,Plural
traps,34.15320479416362,,Plural
parts,34.15320479416362,,Plural
tarps,34.15320479416362,,Plural
sprat,34.15320479416362,,
prats,34.15320479416362,,Plural
strap,34.15320479416362,,
makes,34.146256730936244,,Plural
alien,34.11499044641307,20885.0,
anile,34.11499044641307,,
lacer,34.104568351572,,
clear,34.104568351572,168587.0,
doges,34.104568351572,,Plural
carte,34.101094319958314,,
cater,34.101094319958314,,
crate,34.101094319958314,,
recta,34.101094319958314,,
react,34.101094319958314,27322.0,
